Data from 145mW_IR_0.3bar_Ar_wedges_0mm_File7__1__15-56-46-391.txt Node

Date: Thu Jan 06 15:56:46 CET 2022
User: fsatto
Spectrometer: OFX01956
Trigger mode: 0
Integration Time (sec): 5,000000E-3
Scans to average: 20
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2136
>>>>>Begin Spectral Data<<<<<	
401,416	6,7	
401,857	17,25	
402,298	16,85	
402,74	10,05	
403,181	11,8	
403,622	10,4	
404,063	12,15	
404,504	4,1	
404,945	10,95	
405,386	7,6	
405,826	2,35	
406,267	10,45	
406,708	14,65	
407,149	9,55	
407,589	7,1	
408,03	7	
408,47	9,45	
408,911	4,3	
409,351	8,65	
409,791	6,65	
410,232	5,7	
410,672	9,25	
411,112	13,7	
411,552	9,95	
411,992	11,1	
412,432	6,7	
412,872	7,85	
413,312	5	
413,752	4,5	
414,192	1,2	
414,632	18,25	
415,071	1,45	
415,511	4,55	
415,951	7,1	
416,39	6,6	
416,83	8,75	
417,269	11,25	
417,708	13,5	
418,148	10,7	
418,587	7,5	
419,026	5,05	
419,465	4,4	
419,904	8,6	
420,344	16,6	
420,783	11,05	
421,221	-2,1	
421,66	10,15	
422,099	10,5	
422,538	7,3	
422,977	8,5	
423,415	5,6	
423,854	4,45	
424,293	1,7	
424,731	9,05	
425,17	9,75	
425,608	14,1	
426,046	6,1	
426,485	-1,25	
426,923	8,05	
427,361	12,5	
427,799	4,6	
428,237	5,55	
428,675	2,3	
429,113	0,45	
429,551	6,75	
429,989	8,8	
430,427	4,05	
430,865	5,75	
431,303	8,35	
431,74	15,3	
432,178	23,95	
432,615	6,85	
433,053	7,45	
433,49	3,8	
433,928	14,7	
434,365	8,1	
434,802	7,8	
435,24	6	
435,677	3,7	
436,114	5,5	
436,551	6,3	
436,988	6,75	
437,425	4,05	
437,862	0,8	
438,299	9,3	
438,736	6,35	
439,172	16,25	
439,609	6,55	
440,046	7,15	
440,482	6,4	
440,919	9,85	
441,355	7,65	
441,792	3,55	
442,228	5,15	
442,665	13,8	
443,101	7,45	
443,537	7	
443,973	-1,05	
444,409	3,15	
444,845	-1,25	
445,281	8,05	
445,717	2,65	
446,153	6,65	
446,589	11,5	
447,025	10,1	
447,461	8,2	
447,896	4,85	
448,332	1,3	
448,768	-0,65	
449,203	10	
449,639	10,4	
450,074	-1,3	
450,509	-1,05	
450,945	6,65	
451,38	9,4	
451,815	9,9	
452,25	5,85	
452,685	-2,75	
453,12	13,35	
453,555	6,9	
453,99	7,85	
454,425	6,8	
454,86	-1,15	
455,295	12,95	
455,73	-6,7	
456,164	-10,55	
456,599	0,45	
457,033	8,1	
457,468	0,95	
457,902	8	
458,337	7,7	
458,771	13,5	
459,205	0,3	
459,64	0,65	
460,074	0,6	
460,508	3,65	
460,942	1,95	
461,376	25,6	
461,81	11,35	
462,244	6,15	
462,678	3,6	
463,112	9,75	
463,545	9,05	
463,979	8,05	
464,413	2,9	
464,846	9,15	
465,28	2,55	
465,713	9,5	
466,147	2,55	
466,58	6,75	
467,014	9,6	
467,447	12,7	
467,88	5,75	
468,313	6,95	
468,746	7,95	
469,179	10,35	
469,612	6	
470,045	6,95	
470,478	9,15	
470,911	7,45	
471,344	4,95	
471,777	9,6	
472,209	8,85	
472,642	7,2	
473,074	14,45	
473,507	10,3	
473,939	9,85	
474,372	12,8	
474,804	16,1	
475,236	15,1	
475,669	4,6	
476,101	10,6	
476,533	6,05	
476,965	16,8	
477,397	16,8	
477,829	10,75	
478,261	8,1	
478,693	2	
479,125	17,6	
479,557	17,35	
479,988	14,6	
480,42	14	
480,852	15,6	
481,283	11,5	
481,715	10,75	
482,146	12,35	
482,577	11,9	
483,009	4,9	
483,44	13,65	
483,871	13,65	
484,302	11,05	
484,734	8,7	
485,165	6,35	
485,596	8,5	
486,027	13,9	
486,457	12,4	
486,888	8,95	
487,319	10,05	
487,75	9,6	
488,181	14,5	
488,611	11,5	
489,042	8,85	
489,472	13	
489,903	9,95	
490,333	12,25	
490,764	-0,4	
491,194	7,5	
491,624	13,8	
492,054	10,05	
492,484	1,85	
492,915	10,8	
493,345	7,65	
493,775	12	
494,204	10,3	
494,634	5,05	
495,064	8,25	
495,494	7,85	
495,924	13,6	
496,353	6,3	
496,783	8,45	
497,212	8,45	
497,642	12,05	
498,071	3,9	
498,501	3,1	
498,93	4,3	
499,359	7,85	
499,789	10	
500,218	8,75	
500,647	4,15	
501,076	11,2	
501,505	8,4	
501,934	12,85	
502,363	6,05	
502,792	5,6	
503,221	7,25	
503,649	4,95	
504,078	6,05	
504,507	6,25	
504,935	5,6	
505,364	8,2	
505,792	3,65	
506,221	7,15	
506,649	4,2	
507,077	14,95	
507,506	7,2	
507,934	7,15	
508,362	3,5	
508,79	2,95	
509,218	9,45	
509,646	1,75	
510,074	5,2	
510,502	6,9	
510,93	2,45	
511,357	1,55	
511,785	4,9	
512,213	-1,5	
512,64	6,6	
513,068	15,2	
513,496	7,6	
513,923	4,35	
514,35	6,15	
514,778	-4,15	
515,205	-1,2	
515,632	-1,65	
516,059	2,9	
516,486	6,4	
516,914	3,65	
517,341	-1,7	
517,768	0,15	
518,194	4,3	
518,621	-0,75	
519,048	1,35	
519,475	1,15	
519,902	-4,95	
520,328	11,6	
520,755	5,5	
521,181	5,25	
521,608	3,1	
522,034	6,8	
522,461	2,85	
522,887	0,8	
523,313	-2,85	
523,739	6,15	
524,165	7,9	
524,592	12,3	
525,018	11,9	
525,444	4,75	
525,869	2,05	
526,295	8,85	
526,721	6,9	
527,147	0,2	
527,573	7,65	
527,998	3,55	
528,424	10,35	
528,849	3,95	
529,275	5,15	
529,7	1,95	
530,126	1,3	
530,551	4,3	
530,976	9,05	
531,402	-0,25	
531,827	2,4	
532,252	8	
532,677	-0,95	
533,102	7,3	
533,527	7,2	
533,952	8,7	
534,377	2,25	
534,801	3,65	
535,226	10,7	
535,651	13,45	
536,076	7,15	
536,5	4,95	
536,925	11,75	
537,349	10,55	
537,773	5,1	
538,198	13,95	
538,622	-0,6	
539,046	4,15	
539,471	0,35	
539,895	5,85	
540,319	7,45	
540,743	0,8	
541,167	6,65	
541,591	8,35	
542,015	1,05	
542,438	10,25	
542,862	3,6	
543,286	2,35	
543,71	-1,55	
544,133	4,4	
544,557	2,4	
544,98	10,05	
545,404	12,55	
545,827	10,65	
546,25	6,3	
546,674	-0,4	
547,097	8,35	
547,52	4,75	
547,943	2,4	
548,366	-0,2	
548,789	7,1	
549,212	1	
549,635	-2,05	
550,058	2,15	
550,481	4,7	
550,903	1,7	
551,326	1,55	
551,749	0,95	
552,171	-1,9	
552,594	10,95	
553,016	2,75	
553,438	2,45	
553,861	-3,45	
554,283	-1	
554,705	4,9	
555,128	-4,8	
555,55	3,75	
555,972	-1,35	
556,394	8,5	
556,816	9,2	
557,238	1,75	
557,659	1,4	
558,081	-0,4	
558,503	1,25	
558,925	-7,05	
559,346	-3,3	
559,768	5,9	
560,189	0,05	
560,611	5,35	
561,032	6,45	
561,454	-0,5	
561,875	-1,85	
562,296	5,6	
562,718	-0,1	
563,139	2,4	
563,56	0,3	
563,981	8,25	
564,402	-5,9	
564,823	-4,9	
565,244	8,8	
565,664	0,4	
566,085	1,3	
566,506	2,15	
566,927	-3,05	
567,347	5,55	
567,768	6,6	
568,188	7,05	
568,609	5,3	
569,029	-1,7	
569,449	-1,2	
569,87	-0,4	
570,29	0,5	
570,71	-2,8	
571,13	-3,2	
571,55	-2	
571,97	4,9	
572,39	1	
572,81	-2,05	
573,23	2,55	
573,65	6,8	
574,069	3,1	
574,489	-0,75	
574,909	0,5	
575,328	2,75	
575,748	3,65	
576,167	-3	
576,587	-2,8	
577,006	0,6	
577,425	5,3	
577,844	5,65	
578,264	2,35	
578,683	1,95	
579,102	-0,3	
579,521	6,55	
579,94	-14,3	
580,359	-1,8	
580,778	5,7	
581,196	0,7	
581,615	4,1	
582,034	3,2	
582,452	6,2	
582,871	13,15	
583,29	0	
583,708	-0,25	
584,126	4,9	
584,545	7,25	
584,963	7,3	
585,381	1,85	
585,8	2,55	
586,218	-3,65	
586,636	-1,05	
587,054	7,1	
587,472	6,4	
587,89	-0,2	
588,308	3,35	
588,725	4,55	
589,143	0,1	
589,561	2,3	
589,979	2,1	
590,396	1,4	
590,814	5,15	
591,231	2,05	
591,649	-3,45	
592,066	6,1	
592,483	-0,1	
592,901	2,4	
593,318	-0,9	
593,735	-0,85	
594,152	-2,15	
594,569	6,05	
594,986	2,3	
595,403	3,5	
595,82	10,6	
596,237	5,15	
596,654	1,25	
597,07	5,55	
597,487	4,7	
597,904	4,05	
598,32	1,75	
598,737	-2,2	
599,153	4,6	
599,57	-5,2	
599,986	4,45	
600,402	2,1	
600,818	1,7	
601,235	8,7	
601,651	1,15	
602,067	0,25	
602,483	-10,05	
602,899	3	
603,315	1	
603,73	2,8	
604,146	2,2	
604,562	-7,8	
604,978	3,55	
605,393	-3,05	
605,809	2,2	
606,224	-0,05	
606,64	-1,25	
607,055	0,9	
607,471	8,1	
607,886	8,3	
608,301	8,1	
608,716	1,65	
609,131	9,6	
609,547	4,85	
609,962	10,9	
610,377	14,55	
610,791	15,45	
611,206	11,55	
611,621	7,4	
612,036	17,5	
612,451	15,9	
612,865	21,25	
613,28	25,45	
613,694	22	
614,109	26,85	
614,523	24,2	
614,938	30,2	
615,352	28,5	
615,766	30,4	
616,18	35,55	
616,595	39,9	
617,009	43,25	
617,423	45,4	
617,837	45,75	
618,251	49,7	
618,664	54,85	
619,078	60,3	
619,492	70,75	
619,906	63,4	
620,319	65,6	
620,733	66,25	
621,146	70,6	
621,56	70,4	
621,973	75,7	
622,387	77,1	
622,8	75,95	
623,213	80	
623,627	80,7	
624,04	82,1	
624,453	87,4	
624,866	89,95	
625,279	93,55	
625,692	95,4	
626,105	106,95	
626,518	109,3	
626,93	100,6	
627,343	110,85	
627,756	113,65	
628,168	111,85	
628,581	117,7	
628,993	130,3	
629,406	126,65	
629,818	136,6	
630,231	139,2	
630,643	147,25	
631,055	156	
631,467	161,8	
631,879	177,95	
632,291	176,65	
632,703	203,45	
633,115	216	
633,527	227,55	
633,939	234,35	
634,351	243,35	
634,763	275,65	
635,174	296,6	
635,586	315,75	
635,997	320,8	
636,409	348,9	
636,82	359,15	
637,232	368,15	
637,643	382,3	
638,054	389,15	
638,466	400,8	
638,877	413,65	
639,288	423,85	
639,699	437,45	
640,11	438,55	
640,521	424,35	
640,932	435,95	
641,343	439,95	
641,753	457,7	
642,164	445,2	
642,575	462,85	
642,986	470,6	
643,396	481,1	
643,807	477,85	
644,217	491,55	
644,627	481,3	
645,038	483,85	
645,448	472,15	
645,858	474,6	
646,269	494,8	
646,679	481,5	
647,089	491,9	
647,499	492,45	
647,909	471,55	
648,319	465,05	
648,728	445,7	
649,138	433	
649,548	442,65	
649,958	424	
650,367	399,65	
650,777	396,8	
651,186	390,5	
651,596	375,9	
652,005	367	
652,415	358,45	
652,824	347,45	
653,233	332,65	
653,642	324,8	
654,052	320,9	
654,461	329,65	
654,87	330,9	
655,279	319,15	
655,688	321,25	
656,096	331,2	
656,505	305,65	
656,914	306,5	
657,323	304,3	
657,731	314,85	
658,14	305,6	
658,548	309,05	
658,957	320,65	
659,365	316,5	
659,774	295,35	
660,182	295,75	
660,59	302,05	
660,998	284,3	
661,407	268,4	
661,815	277,25	
662,223	273,6	
662,631	274,15	
663,039	268,1	
663,446	252,65	
663,854	246	
664,262	242,35	
664,67	231,15	
665,077	228,85	
665,485	223	
665,892	212,9	
666,3	203,4	
666,707	206,25	
667,115	190,15	
667,522	183,15	
667,929	166,05	
668,337	160,25	
668,744	158,45	
669,151	157,1	
669,558	148,65	
669,965	141,85	
670,372	134,95	
670,779	130,1	
671,185	114,25	
671,592	109,55	
671,999	95,95	
672,405	93,2	
672,812	96,15	
673,219	82,9	
673,625	80,3	
674,032	71,2	
674,438	69,5	
674,844	60,35	
675,25	54,25	
675,657	48,6	
676,063	49,1	
676,469	39,65	
676,875	33,7	
677,281	31,45	
677,687	35,15	
678,093	28,9	
678,499	30,05	
678,904	20,5	
679,31	24,05	
679,716	14,55	
680,121	21,05	
680,527	15,25	
680,932	12,3	
681,338	11	
681,743	10,65	
682,148	5,4	
682,554	5,7	
682,959	6,45	
683,364	11,95	
683,769	6,85	
684,174	11,4	
684,579	3,35	
684,984	9,4	
685,389	4,85	
685,794	6	
686,199	8,1	
686,603	3,2	
687,008	0,8	
687,413	3	
687,817	4,85	
688,222	1,35	
688,626	-10,35	
689,03	-0,65	
689,435	5,55	
689,839	-5,75	
690,243	1,25	
690,647	3,75	
691,051	-1,55	
691,456	0,2	
691,859	7,65	
692,263	-3,2	
692,667	5,95	
693,071	4,2	
693,475	9,3	
693,879	8,15	
694,282	1,7	
694,686	3,2	
695,089	1,5	
695,493	4,95	
695,896	3,05	
696,3	12,8	
696,703	3,1	
697,106	-0,25	
697,509	1,4	
697,913	3,7	
698,316	0,3	
698,719	1,95	
699,122	-0,8	
699,525	6,2	
699,928	7,15	
700,33	-4,7	
700,733	0,65	
701,136	3,3	
701,539	4,45	
701,941	5,45	
702,344	1,85	
702,746	7,75	
703,149	3,15	
703,551	1,55	
703,953	-4,75	
704,356	-2,65	
704,758	0,45	
705,16	1	
705,562	0,2	
705,964	5,2	
706,366	1,2	
706,768	-1	
707,17	3,5	
707,572	-0,2	
707,973	3,05	
708,375	0,25	
708,777	1,95	
709,178	-0,15	
709,58	-1,6	
709,981	4,4	
710,383	-0,05	
710,784	-7,4	
711,186	-5,65	
711,587	1,8	
711,988	-1,9	
712,389	2,4	
712,79	-0,25	
713,191	-2,2	
713,592	-0,25	
713,993	5,45	
714,394	3,35	
714,795	0,2	
715,196	7,7	
715,596	-3,9	
715,997	2,35	
716,398	2,3	
716,798	3,05	
717,199	-6,35	
717,599	-0,1	
718	2,5	
718,4	1,05	
718,8	-2,35	
719,2	6,3	
719,6	4,8	
720,001	4,2	
720,401	3,75	
720,801	-2,55	
721,201	3,1	
721,6	5,05	
722	6,6	
722,4	7,75	
722,8	6,85	
723,199	5,2	
723,599	16,45	
723,998	8,7	
724,398	15,6	
724,797	17,6	
725,197	9,55	
725,596	17,55	
725,995	22,8	
726,394	24,95	
726,794	25,55	
727,193	38,35	
727,592	32,55	
727,991	34,2	
728,39	44,65	
728,789	39	
729,187	50,9	
729,586	45,75	
729,985	64,3	
730,383	71,15	
730,782	70,35	
731,181	78,95	
731,579	93,7	
731,977	102,2	
732,376	113,55	
732,774	126,6	
733,172	141,8	
733,571	151,95	
733,969	158,55	
734,367	173,2	
734,765	183,7	
735,163	194,8	
735,561	220,75	
735,959	246,65	
736,356	284,35	
736,754	289,75	
737,152	298,45	
737,55	337,05	
737,947	360,5	
738,345	389,55	
738,742	405,9	
739,14	404,55	
739,537	398,45	
739,934	409,9	
740,331	414,4	
740,729	411,55	
741,126	431	
741,523	441,85	
741,92	444,25	
742,317	462,7	
742,714	455,65	
743,111	472	
743,507	498	
743,904	506,9	
744,301	497,8	
744,697	490	
745,094	496,6	
745,491	493,25	
745,887	498,75	
746,283	489,5	
746,68	493,85	
747,076	483,2	
747,472	484,2	
747,869	489,6	
748,265	477,55	
748,661	457,15	
749,057	457,4	
749,453	452,6	
749,849	452,65	
750,244	462,15	
750,64	481,2	
751,036	477,5	
751,432	486,1	
751,827	474,1	
752,223	477,4	
752,618	462,8	
753,014	457,2	
753,409	478,15	
753,805	467,05	
754,2	478,65	
754,595	500,2	
754,99	494	
755,385	516,7	
755,78	530,2	
756,175	537,6	
756,57	542,65	
756,965	523,5	
757,36	523,35	
757,755	549,05	
758,15	557,55	
758,544	543,05	
758,939	551,75	
759,334	550,65	
759,728	559,6	
760,122	563,1	
760,517	602,6	
760,911	562,35	
761,306	554,9	
761,7	511,1	
762,094	465,85	
762,488	432,25	
762,882	397,45	
763,276	379,35	
763,67	357,2	
764,064	362,9	
764,458	372,8	
764,852	406,3	
765,245	445,05	
765,639	496,3	
766,033	543,85	
766,426	568	
766,82	580	
767,213	572,85	
767,606	572,55	
768	559,05	
768,393	541,3	
768,786	534,55	
769,179	528,75	
769,572	536,2	
769,966	525,75	
770,358	503,75	
770,751	504,6	
771,144	514,75	
771,537	498,75	
771,93	504,15	
772,323	522,2	
772,715	489	
773,108	475,95	
773,5	437,75	
773,893	387,8	
774,285	339,45	
774,678	282,05	
775,07	237	
775,462	189,65	
775,854	163,95	
776,247	143,7	
776,639	136,85	
777,031	133,05	
777,423	139,95	
777,815	162	
778,207	159,25	
778,598	176,9	
778,99	195,05	
779,382	206,35	
779,773	241,75	
780,165	275,9	
780,557	310,15	
780,948	334,6	
781,339	347,6	
781,731	353,05	
782,122	385,4	
782,513	378,65	
782,905	375,95	
783,296	371,4	
783,687	376,15	
784,078	342	
784,469	341,25	
784,86	321,2	
785,251	308,65	
785,641	291,25	
786,032	285,3	
786,423	268,9	
786,813	260,9	
787,204	261,4	
787,594	267,2	
787,985	269,1	
788,375	243,4	
788,766	220,4	
789,156	199,05	
789,546	180,6	
789,936	163,7	
790,326	155,75	
790,717	152,6	
791,107	144,6	
791,497	142,3	
791,886	133,5	
792,276	125,4	
792,666	122,7	
793,056	118,2	
793,445	110,45	
793,835	113,3	
794,225	115,3	
794,614	111,4	
795,004	97,9	
795,393	91,3	
795,782	92,4	
